9.999275207519531250e-04;1.000642776489257812e-03;1.000404357910156250e-03;5.001306533813476562e-03;2.000427246093750000e-02;1.700401306152343750e-02
1.000165939331054688e-03;1.000881195068359375e-03;5.001306533813476562e-03;5.001544952392578125e-03;1.200318336486816406e-02;3.700876235961914062e-02
1.000165939331054688e-03;1.000165939331054688e-03;5.001306533813476562e-03;2.400517463684082031e-02;2.901029586791992188e-02;8.801984786987304688e-02
1.000881195068359375e-03;1.999378204345703125e-03;3.001213073730468750e-03;5.001306533813476562e-03;3.600835800170898438e-02;3.197097778320312500e-02
9.992122650146484375e-04;1.999616622924804688e-03;7.002353668212890625e-03;1.500368118286132812e-02;1.200294494628906250e-02;3.300738334655761719e-02
0.000000000000000000e+00;1.001834869384765625e-03;1.000642776489257812e-03;9.001493453979492188e-03;2.500557899475097656e-02;7.052397727966308594e-02
0.000000000000000000e+00;1.001358032226562500e-03;4.001140594482421875e-03;1.000356674194335938e-02;2.500557899475097656e-02;2.100491523742675781e-02
9.996891021728515625e-04;1.000642776489257812e-03;4.001379013061523438e-03;5.999803543090820312e-03;2.600502967834472656e-02;3.600764274597167969e-02
1.000165939331054688e-03;2.000570297241210938e-03;2.000093460083007812e-03;7.001399993896484375e-03;3.100705146789550781e-02;1.300239562988281250e-02
9.884834289550781250e-04;9.999275207519531250e-04;2.000570297241210938e-03;1.200366020202636719e-02;2.700567245483398438e-02;1.695432662963867188e-01
